infraction_description,set_fine_amount,location2
PARK PROHIBITED TIME NO PERMIT,30,65 PEARS AVE
PARK PROHIBITED TIME NO PERMIT,30,65 PEARS AVE
PARK PROHIBITED TIME NO PERMIT,30,151 ROXBOROUGH ST W
PARK-SIGNED HWY-EXC PERMT TIME,40,3 HAYNES AVE
PARK PROHIBITED TIME NO PERMIT,30,15 PERTH AVE
PARK PROHIBITED TIME NO PERMIT,30,15 PERTH AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,324 COOK RD
PARK PROHIBITED TIME NO PERMIT,30,29 FISKEN AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,324 COOK RD
PARK PROHIBITED TIME NO PERMIT,30,29 FISKEN AVE
PARK PROHIBITED TIME NO PERMIT,30,15 FISKEN AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,310 COOK RD
PARK PROHIBITED TIME NO PERMIT,30,29 FISKEN AVE
PARK PROHIBITED TIME NO PERMIT,30,203 MADISON AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,264 COOK RD
PARK-SIGNED HWY-EXC PERMT TIME,40,260 COOK RD
PARK PROHIBITED TIME NO PERMIT,30,141 SUNNYSIDE AVE
PARK PROHIBITED TIME NO PERMIT,30,203 MADISON AVE
STAND VEH.-PROHIBIT TIME/DAY,100,LA PLANTE AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,260 COOK RD
STAND VEH.-PROHIBIT TIME/DAY,100,LA PLANTE AVE
PARK-SIGNED HWY-EXC PERMT TIME,40,258 COOK RD
PARK PROHIBITED TIME NO PERMIT,30,165 MADISON AVE
PARK PROHIBITED TIME NO PERMIT,30,130 ROXBOROUGH ST W
PARK-SIGNED HWY-EXC PERMT TIME,40,254 COOK RD
